km,brand,fuel,gear,price,cv,year
199726,Skoda,Diesel,Manual,3980,91,2011
178304,Ford,Diesel,Manual,3990,111,2011
213990,Hyundai,Diesel,Manual,3990,91,2011
103000,Hyundai,Gasoline,Manual,3990,70,2011
104500,Nissan,Gasoline,Manual,3990,89,2011
169500,Renault,Diesel,Manual,3990,107,2011
43000,Hyundai,Gasoline,Manual,3990,70,2011
51174,Fiat,Gasoline,Manual,3990,70,2011
199000,Opel,Diesel,Manual,3999,112,2011
110000,Smart,Gasoline,Automatic,3999,62,2011
99121,Peugeot,Gasoline,Manual,3999,61,2011
202000,Ford,Diesel,Manual,3999,96,2011
93000,Smart,Gasoline,Automatic,4795,72,2012
131663,Ford,Gasoline,Manual,4799,61,2012
137500,Volkswagen,Gasoline,Manual,4800,76,2012
122600,Peugeot,Gasoline,Manual,4800,122,2012
81698,Volkswagen,Gasoline,Manual,4804,61,2012
87000,Opel,Gasoline,Manual,4850,70,2012
89000,Kia,Gasoline,Manual,4870,70,2012
26147,Renault,Gasoline,Manual,4890,76,2012
81500,Toyota,Gasoline,Manual,4899,69,2012
119600,Ford,Gasoline,Manual,4900,83,2012
153289,Hyundai,Other,Manual,4900,111,2012
322418,Skoda,Diesel,Automatic,4900,142,2012
52000,Ford,Gasoline,Automatic,4900,98,2012
56000,Ford,Gasoline,Manual,4900,70,2012
276000,Audi,Diesel,Manual,4900,142,2012
215000,Ford,Diesel,Manual,4900,118,2012
159999,Fiat,Diesel,Manual,4900,91,2012
81000,Toyota,Gasoline,Manual,4900,69,2012
120185,Seat,Diesel,Manual,4948,106,2012
116000,Seat,Gasoline,Manual,4950,87,2012
99000,Ford,Gasoline,Manual,4999,70,2013
175000,Kia,Diesel,Manual,4999,130,2013
74415,Fiat,Gasoline,Manual,4999,70,2013
42000,Hyundai,Gasoline,Manual,4999,87,2013
85571,Kia,Gasoline,Manual,5000,87,2013
68900,Ford,Gasoline,Manual,5100,70,2013
73350,Skoda,Gasoline,Manual,5180,61,2013
124000,Ford,Diesel,Manual,5200,76,2013
162300,Opel,Gasoline,Manual,5200,70,2013
38220,Toyota,Gasoline,Manual,5200,69,2013
109500,Kia,Gasoline,Manual,5200,87,2013
115000,Citroen,Gasoline,Manual,5200,122,2013
94000,Seat,Gasoline,Manual,5200,70,2013
74000,Dacia,Gasoline,Manual,5200,91,2013
150000,Kia,Gasoline,Manual,5200,87,2013
58200,Ford,Gasoline,Manual,5200,61,2013
150000,Kia,Diesel,Manual,5200,91,2013
78000,Ford,Gasoline,Manual,5250,70,2013
95000,Dacia,Gasoline,Manual,5250,91,2013
50500,Ford,Gasoline,Manual,5990,61,2015
50531,Smart,Gasoline,Automatic,5990,72,2015
55650,Mitsubishi,Gasoline,Manual,5990,72,2015
42000,Seat,Gasoline,Manual,5990,61,2015
174418,Seat,Diesel,Manual,5990,106,2015
179850,Ford,Diesel,Manual,5999,122,2015
54777,Ford,Gasoline,Manual,5999,61,2015
37200,Skoda,Gasoline,Manual,6000,61,2015
45000,Smart,Gasoline,Manual,6000,72,2015
93000,Fiat,Gasoline,Manual,6000,70,2015
118000,Skoda,Diesel,Manual,6000,91,2015
100000,Hyundai,Gasoline,Manual,6180,88,2015
